Name,Special Powers,Cunning,Strength,Technology,Top Trumps Rating,Wins Against Hela,Wins Against Loki,Wins Against Ultron,Wins Against Green Goblin,Wins Against Doctor Octopus,Wins Against Venom,Wins Against Thanos
Black Panther,23,27,31,25,72,0,0,0,1,1,0,0
Doctor Strange,47,22,14,3,53,0,0,0,0,0,0,0
Ant Man,38,14,29,27,79,0,1,0,1,1,1,1
Rocket Raccoon,12,4,12,20,35,0,0,0,0,0,0,0
Ms Marvel,49,13,46,18,98,1,1,0,1,1,1,1
Ghost Rider,36,2,34,12,46,0,0,0,1,1,1,0
Baron Zemo,12,18,15,13,30,0,0,0,0,0,0,0
Dormammu,41,19,20,1,49,0,0,0,0,0,0,0
Valkyrie,42,5,39,4,51,0,0,0,1,1,1,0
Daredevil,28,24,26,11,55,0,0,0,1,0,0,0
Vision,49,11,46,30,95,1,1,1,1,1,1,1
Scarlet Witch,47,8,10,3,42,0,0,0,1,0,0,0
Falcon,18,16,24,24,47,0,0,0,1,0,0,0
Hawkeye,13,15,17,16,37,0,0,0,0,0,0,0
Black Widow,10,20,17,19,40,0,0,0,0,0,0,0
Nova,21,12,28,26,33,0,1,0,1,1,0,0
Red Skull,18,29,16,14,63,0,0,0,1,0,0,0
Iron Man,15,26,35,29,68,0,0,0,1,1,0,0
Hulk,34,1,49,10,100,1,1,1,1,1,1,0
Captain America,25,17,38,15,76,0,0,0,1,1,1,0
Thor,50,6,50,6,99,1,1,1,1,1,1,1
Spiderman,40,10,37,21,44,0,1,0,1,1,1,0
Luke Cage,24,3,33,8,56,0,1,0,1,1,0,0
,692,322,666,355,1368,4,8,3,17,13,9,4
